The Verifiable Claims Problem Statement is accurate,The Goals proposed by the Verifiable Claims work are good goals to pursue,The Scope of Work and Deliverables would help address the Problem Statement,My organizations verifiable claims problems would be addressed if the use cases in the Use Cases document were addressed,My organization would participate in the following way if a Verifiable Claims Working Group were to materialize at W3C,"If your organization would NOT participate, what changes would we have to make to the draft charter to change your mind?",Is there any other input that you have on the Verifiable Claims Draft Charter?
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,"We are NOT a W3C member, but would perform periodic reviews of the technical work",,
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,"we expect to become a W3C member, and would participate",,
Mostly Agree,Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,We are a W3C member and would participate as long as we find a representative that was available.,,
Mostly Agree,Strongly Agree,"Strongly Agree, all problems would be solved",Mostly Agree,"We would participate, but mostly observing",,
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Strongly Agree,"We are NOT a W3C member, but would perform periodic reviews of the technical work","A focused workgroup on the educational credentialing system partering with IMS Global, OpenBadges, and HR OpenStandards.",Good luck and best wishes!
Strongly Agree,Strongly Agree,"Strongly Agree, all problems would be solved",Strongly Agree,"We are not a W3C member, but WOULD join and participate",,
Strongly Agree,Strongly Agree,"Strongly Agree, all problems would be solved",not in a position to give an answer,"We are NOT a W3C member, but would perform periodic reviews of the technical work",,
Strongly Agree,Strongly Agree,"Strongly Agree, all problems would be solved",Strongly Agree,I will participate in the work as an independent expert as I am not sure the University will pay the annual membership,"Its a question of money, not technical scope","I am already working on an implementation that satisfies the goals of this group, using FIDO as the underlying technology."
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,"We are NOT a W3C member, but would perform periodic reviews of the technical work",We would participate.  This is very important work.,"Very pleased with the application across multiple domains (e.g., financial, education) including the rapidly growing credentialing marketplace for workforce-related credentials"
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,"We are not a W3C member, but WOULD join and participate",,"The semantic issues surrounding the interoperability of verified claims, particularly on an international basis, could be given more emphasis in the charter—this is one of the major stumbling blocks to interop that other efforts have not overcome."
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement","Wouldn't solve the requirement to present a government credential upon sign-up to telco service, otherwise many use cases served well",We are a W3C member and WOULD participate,,Relating VC to Hardware Systems doing similar things with e.g. SmartCards
Mostly Agree,Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Neutral,We are a W3C member and WOULD participate,,"The NZ government has implemented an attribute brokering pattern where the verified claims exist at attribute providers independently from the service providers. While some attributes are managed by a single authoritative source, for others the user can potentially select the attribute provider for the credential information passed to a given service provider. Although we would not strongly agree with the second item in the problem statement, we support the potential benefits of the overall verifiable claims initiative."
Mostly Agree,Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Neutral,We are a W3C member and WOULD participate,,
Mostly Agree,Mostly Agree,"Strongly Agree, all problems would be solved",Mostly Agree,"We are not a W3C member, but WOULD join and participate",,
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,"We are not a W3C member, but WOULD join and participate",,"There is broad interest in solving these problems in the education community, and a number of techniques being developed by vendors. Strong standardization of a technology path could focus the interest and effort from a wide variety of investors in education."
Strongly Agree,Strongly Agree,"Strongly Agree, all problems would be solved",Mostly Agree,"We are a member, and may participate (to-be-determined)",We support the charter.  Participation is based on available resourcing to-be-determined.,No.  Looks good.  Nice job.
"Neutral, I don't have strong feelings about it",Neutral,Neutral,Neutral,We are NOT a W3C member and we WOULD NOT participate,"I'd monitor the progress. I'm not quite sure what kind of vocabulary you intend to develop, and whether it will be relevant to the problems we're trying to solve at Gluu. ","Identity is always in the context of a domain. Self-asserted information is not that useful, and not that hard to convey. If a user can get access to the information asserted by a domain, and perhaps get a permanent record of that data, it could be useful. I think there is some overlap with the Open Badge specification: http://openbadgespec.org "
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,.  As an Invited Expert to the W3C I would participate,N/A,Conssider Blockchain if suitable 
"Neutral, I don't have strong feelings about it",Neutral,Neutral,Neutral,We are a W3C member but not sure about participation.,"We prefer to set up a CG to incubate specifications first, instead of WG.","We prefer to set up a CG to incubate specifications first, instead of WG."
"Neutral, I don't have strong feelings about it",Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,"We are NOT a W3C member, but would perform periodic reviews of the technical work",,
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,"We are not a W3C member, but WOULD join and participate",,"No, thank you."
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Strongly Agree,We are a W3C member and WOULD participate,,We will need to coordinate well and use the wisdom of various past and existing identity efforts and security protocols.  I think the network layer will need to addressed to deal with MITM attacks or another way found to address that which we can do. 
Strongly Agree,Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Neutral,Cannot predict participation,,More clarity about supporting infrastructure assumptions.
Mostly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Strongly Agree,We are a W3C member and WOULD participate,,"Many of our (NACS) members are concerned that ""generic"" schemes for VC are less than what is needed for Payments.  These sentiments come mainly from folks involved in X9/ISO standards."
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,"We are not a W3C member, but WOULD join and participate",,
Mostly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",We are interested in the environment made possible by a rich client oriented claims,We are a W3C member and WOULD participate,,"The scope of this charter is somewhat too limited; we understand that it is an initial effort, but a standardized complete ecosystem for claims is necessary."
Mostly Agree,Mostly Agree,"Mostly Disagree, we'd make very little progress on the problem statement",Neutral,We are a W3C member but WOULD NOT participate,"We agree that there are interesting problems worth exploring here, but aren't convinced that the area is mature enough to charter a WG.","The use cases as expressed are interesting, but we would prefer to see a clearer expression of the overall user need - to what degree is the lack of verifiable claims the most important (or most tractable) area of friction in any of the processes described?

We are concerned that pulling the work out as a standalone working group will lead to excessive abstraction. If this is a particular need to enable concrete improvements for payments we would prefer to see a proposal emerging around payments and then look for broader application.

An ongoing community group, working in parallel with the payments work, might be a good forum for tracking other developments in this space and informing whether the situation changes, for example from the emergence of practical implementations."
Mostly Agree,Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Neutral,We are a W3C member and WOULD participate,,
Mostly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Unknown impact for us.,Participation unpredictable,,
DISAGREE ON HOW PROBLEM IS STATED. PRESUMES USER-CENTRIC DESIGN. ,Mostly Agree,"Mostly Disagree, we'd make very little progress on the problem statement",Mostly Disagree,"We are NOT a W3C member, but would perform periodic reviews of the technical work",,
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",N/A,We are a W3C member and would probably participate.,,It would be good for accessibility to be recognised in the use cases guiding this work. The ability for someone with a disability to confidently verify themselves offers a degree of trust that is simply not obtainable at present.
Mostly Agree,Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Neutral,We are a W3C member and MAY participate but would perform review of the work,,
Mostly Agree,Mostly Agree,Neutral,Neutral,We are a W3C member but WOULD NOT participate,,
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,We are a W3C member and WOULD participate,,
Mostly Agree,Strongly Agree,"Strongly Agree, all problems would be solved",Strongly Disagree,Unknown as of yet,"No focus on payments or financial value exchanges. Non-repudiation, consensus mechanisms, etc.   ""Credential Repository"" should be a permissioned public ledger technology where the data can only be appended/updated but never deleted. Permissioned public ledger allows self-assertions and major providers to sign those assertions.","There isnt a single financial use case in the document yet Payments is all over the doc. KYC is not even a use case, its barely mentioned in the use cases as a scenario. Financial Services is an after thought. Additionally, verifiable claims shouldnt be another ""schema"". It should be child schema's within other schema's such that the VC data structures are consistent across many schema's (VC data model within other data model's). If we must ""exchange"" VC it must be in-band with the existing information system formats (such as ISO 20022). However, identity/credentials dont change everyday so a more linking to semi-static blob/ledger of permissioned data would be more appropriate than identity information flying all over the place."
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Strongly Agree,We are a W3C member and WOULD participate,,
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,"We are NOT a W3C member, but would perform periodic reviews of the technical work",Prioritization of use cases around starting with largely excluded populations. ,"Scenarios should also include, person with no gov't issued id able to generate a history and use that history as a form of verifiable claim of identity.  Pseudo anonymous. "
Strongly Agree,Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,We are a W3C member and WOULD participate,,
Strongly Agree,Mostly Agree,"Difficult to answer. Personally I think it looks OK, but I am not a specialist in related W3C work",Mostly Agree,We are a W3C member and COULD participate (to be discussed wit Dutch Payments Association relating to iDIN scheme),,"In my opinion the Charter defines a good approach to user-centric verifiable claims. In the Netherlands, a service-centric scheme (iDIN) has just been launched, which shares some use cases with VC. For the bank, the current vision is based on service-centric related income. In order to address that, a separate NOTE on business models would be useful"
Strongly Agree,Strongly Agree,"Strongly Agree, all problems would be solved",Strongly Agree,We Are a W3C but we have 180 different research teams and I cannot be certain that the relevant ones will participate for sure,,
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Neutral,We are a member and would have to decide IF we participate,,
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Strongly Agree,"We are not a W3C member, but WOULD join and participate",,Looking forward to continued collaboration.  
Mostly Agree,Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,We are a W3C member and WOULD participate,,
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,"We are not a W3C member, but WOULD join and participate",,Nice work!
Mostly Agree,Mostly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,"We are not a W3C member, but WOULD join and participate",,
Strongly Agree,Strongly Agree,"I'm inclined to say Strongly Agree, though i cannot for sure as I haven't reviewed in deep detail.",Mostly Agree,We will soon be a W3C member and WOULD participate,,
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement","Agree, but some key use cases are missing, especially legal identity and correlatable claims for insurance and healthcare","Not a W3C member, but would consider joining and participating",I'd like to see a requirements model as an output of the work,"Prior to finalizing any recommendations, I think the group should fully explore, document, and verify the requirements the system is designed to address. The current use case document is a good start, but more work should be done to assure alignment with both existing and anticipated related efforts. Also, I think a claim can and should be more broadly defined to cover any assertion by an author about a subject."
Strongly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Neutral,"We are NOT a W3C member, but would perform periodic reviews of the technical work",,
Mostly Agree,Strongly Agree,"Mostly Agree, we'd be on the path to solving the problem statement",Mostly Agree,"We are not a W3C member, but WOULD join and participate",,We're grateful for Manu's help reviewing the Chainpoint 2.0 protocol and helping us with JSON-LD.  We're moving as aggressively as possible to finalize the next version of the protocol.
Strongly Agree,Strongly Agree,"Strongly Agree, all problems would be solved",Strongly Agree,"We are not a W3C member, but WOULD join and participate",,
